k,bin_mid_years,hazard_per_year_empirical,hazard_per_year_exact_erlang,rel_err,survival_left,events_in_bin,n_at_risk_left
3,72.5,0.04466131833595236,0.04756269682929645,0.06100113506509526,0.12091,1080,24182
3,73.5,0.04601333217903212,0.047805024505930896,0.03747916344392819,0.11551,1063,23102
3,74.5,0.04714369980489133,0.048042319196441266,0.01870474628578089,0.110195,1039,22039
3,75.5,0.04623809523809524,0.048274731196402104,0.04218844740990823,0.105,971,21000
3,76.5,0.04458535124070098,0.048502405099305874,0.08075999222275577,0.100145,893,20029
4,3.5,0.00016501072569717032,0.00013430634654945864,0.2286145065855448,0.999935,33,199987
4,4.5,0.0002750632645508467,0.0002662038753306826,0.033280466744365786,0.99977,55,199954
4,5.5,0.0004402223122676952,0.000453334189766373,0.028923204546815726,0.999495,88,199899
4,6.5,0.0007356952319942346,0.0006981002438376203,0.053853280368369116,0.999055,147,199811
4,7.5,0.0010066912412853594,0.0010007548847527162,0.005931878647896998,0.99832,201,199664
4,8.5,0.0014438768092327901,0.0013599116660753894,0.06174308615185154,0.997315,288,199463
4,9.5,0.001862683569725116,0.0017729746614122428,0.05059796412511425,0.995875,371,199175
4,10.5,0.002167964427275105,0.00223649476182431,0.030641848896308055,0.99402,431,198804
4,11.5,0.002878415913455964,0.0027464603052552135,0.048045700113801104,0.991865,571,198373
4,12.5,0.003154669821336488,0.0032985300178595954,0.04361342650944181,0.98901,624,197802
4,13.5,0.0039000294150463035,0.0038882161139695134,0.0030382316030087573,0.98589,769,197178
4,14.5,0.00466882882148985,0.004511025031833433,0.0349818031473615,0.982045,917,196409
4,15.5,0.005309680191516788,0.00516256273208256,0.02849698242308455,0.97746,1038,195492
4,16.5,0.005610581422855791,0.005838610818209786,0.03905541959446993,0.97227,1091,194454
4,17.5,0.0062990334241814615,0.0065351790117039905,0.0361345247160959,0.966815,1218,193363
4,18.5,0.0073850477503968354,0.007248538777080062,0.01883261958236543,0.960725,1419,192145
4,19.5,0.00755009804641213,0.007975242179978711,0.05330799039982457,0.95363,1440,190726
4,20.5,0.008970552497279249,0.008712129399259732,0.02966244946286897,0.94643,1698,189286
4,21.5,0.009574173188050409,0.00945632771611481,0.012462075709873543,0.93794,1796,187588
4,22.5,0.00993045986910093,0.010205244276371357,0.026925804011046342,0.92896,1845,185792
4,23.5,0.010731351965511804,0.01095655446727942,0.02055413519278887,0.919735,1974,183947
4,24.5,0.011759986371604579,0.011708187364173905,0.004424169670291987,0.909865,2140,181973
4,25.5,0.012244693688032786,0.012458309380052239,0.017146443028737562,0.899165,2202,179833
4,26.5,0.012379595903868132,0.013205306985576901,0.06252873050286735,0.888155,2199,177631
4,27.5,0.014176433033882075,0.01394776915110032,0.016394297919944813,0.87716,2487,175432
4,28.5,0.01406227413339501,0.014684469988898557,0.04237101209467734,0.864725,2432,172945
4,29.5,0.01516013441790362,0.015414351936200867,0.016492261195893178,0.852565,2585,170513
4,30.5,0.015994950216759563,0.016136509711758517,0.008772621683845388,0.83964,2686,167928
4,31.5,0.016133912685636822,0.01685017519527043,0.04250771884168015,0.82621,2666,165242
4,32.5,0.01757947052455467,0.0175547033153615,0.0014108588876861707,0.81288,2858,162576
4,33.5,0.01795664859314542,0.01824955898408955,0.016050272294223396,0.79859,2868,159718
4,34.5,0.01874402295186484,0.01893430508086471,0.01004959665470753,0.78425,2940,156850
4,35.5,0.019608862322136312,0.019608591463508414,1.381326284461316e-05,0.76955,3018,153910
4,36.5,0.01980886992020783,0.020272144966750637,0.02285278875534126,0.75446,2989,150892
4,37.5,0.02116927986585803,0.02092476033698072,0.011685654934129146,0.739515,3131,147903
4,38.5,0.021212665432542206,0.021566292045109774,0.01639719112714857,0.72386,3071,144772
4,39.5,0.022102878596481322,0.022196646915821818,0.004224436226611226,0.708505,3132,141701
4,40.5,0.02192409557693279,0.022815777510410237,0.039081812270942574,0.692845,3038,138569
4,41.5,0.0232271583622935,0.023423676201104502,0.008389709502632941,0.677655,3148,135531
4,42.5,0.023953226622753676,0.02402036987675729,0.002795263118266339,0.661915,3171,132383
4,43.5,0.024633934928644397,0.024605915222567585,0.0011387386253819843,0.64606,3183,129212
4,44.5,0.02485142308516294,0.02518039451984958,0.0130645861973017,0.630145,3132,126029
4,45.5,0.026770384956508294,0.02574391191548041,0.0398724577833348,0.614485,3290,122897
4,46.5,0.02607706906786392,0.026296590114409244,0.008347890186151423,0.598035,3119,119607
4,47.5,0.02765091683263512,0.026838567452348115,0.030267985865092602,0.58244,3221,116488
4,48.5,0.02680392347285617,0.02736999530941474,0.0206822043686596,0.566335,3036,113267
4,49.5,0.027288149431648083,0.027891035828994912,0.021615776518421087,0.551155,3008,110231
4,50.5,0.027839176296130495,0.028401859909394277,0.019811505833027033,0.536115,2985,107223
4,51.5,0.02849248834398204,0.028902645438945905,0.014190988012854476,0.52119,2970,104238
4,52.5,0.028241892799304814,0.02939357574810603,0.03918145103102756,0.50634,2860,101268
4,53.5,0.02960125193073734,0.02987483825471678,0.009157750801755208,0.49204,2913,98408
4,54.5,0.03031572333630033,0.030346623281035743,0.0010182333780352547,0.477475,2895,95495
4,55.5,0.029470842332613392,0.030809123023342197,0.043437805409614255,0.463,2729,92600
4,56.5,0.03056603353695853,0.0312625306569384,0.022278974393433935,0.449355,2747,89871
4,57.5,0.030967356870667095,0.031707039561178284,0.023328658264798928,0.43562,2698,87124
4,58.5,0.03208727169355412,0.03214284265080266,0.0017288750049975579,0.42213,2709,84426
4,59.5,0.0317314634653744,0.03257013180133219,0.025749614434274003,0.408585,2593,81717
4,60.5,0.03349173449269501,0.03298909735760322,0.015236462205776175,0.39562,2650,79124
4,61.5,0.03248162774276225,0.03339992771572211,0.027494070669128966,0.38237,2484,76474
4,62.5,0.032639545884579,0.033802808969781654,0.034413207678763186,0.36995,2415,73990
4,63.5,0.03344743276283619,0.03419792461564151,0.02194553795998653,0.357875,2394,71575
4,64.5,0.033303941833740476,0.03458545530492878,0.03705353767615929,0.345905,2304,69181
