cv,age,hazard_analytic,survival_analytic,hazard_mc,events_mc
0.6,33.0,0.003534960801932388,0.9715014778232457,0.0035046329538072282,205
0.6,34.0,0.003797325400414963,0.9679464411770785,0.003997323680282729,233
0.6,35.0,0.0040604745167182365,0.9641509587304651,0.003565522943365027,207
0.6,36.0,0.004323399161983244,0.9601177018879883,0.003975868208612076,230
0.6,37.0,0.00458517162462699,0.9558504475625149,0.004477689650983182,258
0.6,38.0,0.004844947580236356,0.9513539745366617,0.004672164013877025,268
0.6,39.0,0.005101966299256888,0.9466339575856425,0.0050969470863328255,291
0.6,40.0,0.005355549318882612,0.9416968615727993,0.005211084116756452,296
0.6,41.0,0.005605097911629604,0.9365498373418188,0.0062294269635083,352
0.6,42.0,0.005850089644648065,0.9312006208694146,0.0057342308651209175,322
0.6,43.0,0.006090074284045124,0.9256574368155642,0.006322539045708554,353
0.6,44.0,0.006324669259581759,0.9199289073184301,0.0054795508210313815,304
0.6,45.0,0.006553554868546769,0.9140239666287826,0.006397825101948346,353
0.6,46.0,0.006776469364289824,0.9079517819633093,0.0066214293531793806,363
0.6,47.0,0.006993204045265554,0.9017216807753989,0.007087900989735397,386
0.6,48.0,0.007203598434631565,0.8953430844933691,0.007415900726795258,401
0.6,49.0,0.007407535618370796,0.8888254486562019,0.006856461469667611,368
0.6,50.0,0.007604937791344772,0.8821782092825645,0.007710490769923458,411
0.6,51.0,0.007795762045317908,0.8754107352366938,0.008299775017488136,439
0.6,52.0,0.007979996420474266,0.8685322863017022,0.007778243794562855,408
0.6,53.0,0.008157656231917046,0.8615519766337161,0.00812742573876955,423
0.6,54.0,0.008328780674744195,0.8544787432467087,0.008058423570888944,416
0.6,55.0,0.00849342970520748,0.8473213191651153,0.008065303571777297,413
0.6,56.0,0.008651681190883049,0.8400882108775689,0.00801275741229279,407
0.6,57.0,0.008803628319449485,0.8327876797282276,0.009169031694683152,462
0.6,58.0,0.00894937725334849,0.8254277268908404,0.00985478217325989,492
0.6,59.0,0.009089045016097003,0.8180160815833635,0.008395201585985071,415
0.6,60.0,0.009222757595157194,0.8105601921967568,0.009037496429882901,443
0.6,61.0,0.009350648245911546,0.8030672200292652,0.00957282552753474,465
0.6,62.0,0.009472855981315354,0.795544035336597,0.009852421533984619,474
0.6,63.0,0.009589524232112517,0.7879972154281767,0.00957259215719204,456
0.6,64.0,0.009700799663023759,0.7804330445595716,0.00953793980500212,450
0.6,65.0,0.009806831130985405,0.7728575153909896,0.009586989086240102,448
0.6,66.0,0.009907768772284026,0.7652763318010098,0.009744609135300982,451
0.6,67.0,0.01000376320625359,0.7576949128633399,0.009731404507865854,446
0.6,68.0,0.010094964844052031,0.7501183978121374,0.010267709595681393,466
0.6,69.0,0.01018152329188636,0.7425516518382298,0.00977314722055255,439
0.6,70.0,0.01026358683889324,0.7349992725743852,0.010184352517985612,453
0.6,71.0,0.010341302020693879,0.72746559714248,0.009562314034569697,421
0.6,72.0,0.010414813250418015,0.7199547096491341,0.010709535385038755,467
0.6,73.0,0.010484262509726236,0.7124704490289703,0.011126822596722223,480
0.6,74.0,0.010549789093049806,0.7050164171463127,0.010361236784734757,442
0.6,75.0,0.010611529398910352,0.6975959870767289,0.01087239737546486,459
0.6,76.0,0.010669616762778025,0.6902123114995538,0.01092006322141865,456
0.6,77.0,0.01072418132647767,0.6828683311412844,0.010072151469662486,416
0.6,78.0,0.010775349939656408,0.6755667832177868,0.010688255148461575,437
0.6,79.0,0.010823246089290344,0.6683102098303677,0.01058122574105664,428
0.6,80.0,0.010867989853628308,0.6611009662773208,0.010544464156317932,422
0.6,81.0,0.010909697877355507,0.6539412292482817,0.010732594257430743,425
0.6,82.0,0.010948483365106587,0.6468330048739962,0.010466125491397355,410
0.6,83.0,0.01098445609077349,0.6397781366086698,0.011247549272520896,436
0.6,84.0,0.01101772242033775,0.6327783129262158,0.011610310999791274,445
0.6,85.0,0.011048385346212098,0.625835074815342,0.011271546604017633,427
0.6,86.0,0.011076544531308257,0.6189498230616359,0.01209419051687313,453
0.6,87.0,0.011102296361253611,0.6121238253076412,0.011377455881955517,421
0.6,88.0,0.01112573400336584,0.6053582228843734,0.011781750587720737,431
0.6,89.0,0.011146947471160604,0.5986540374099166,0.010207186523194378,369
0.6,90.0,0.01116602369331629,0.592012177152608,0.011011122910960819,394
0.6,91.0,0.011183046586152188,0.5854334431579004,0.010568554312196225,374
0.6,92.0,0.011198097128795489,0.5789185351394885,0.010995601759296281,385
