k,s,age_midpoint,hazard_per_year
5,0.02,77.0,0.05890816
5,0.02,79.0,0.05646157
5,0.02,81.0,0.05962437
5,0.02,83.0,0.06092745
5,0.02,85.0,0.06237955
5,0.02,87.0,0.06209630
5,0.02,89.0,0.06059336
5,0.02,91.0,0.06418081
5,0.02,93.0,0.06269147
5,0.02,95.0,0.06304729
5,0.02,97.0,0.06312625
5,0.02,99.0,0.06864351
5,0.02,101.0,0.06494493
5,0.02,103.0,0.06241816
5,0.02,105.0,0.06084788
5,0.02,107.0,0.06416809
5,0.02,109.0,0.06091205
5,0.02,111.0,0.06824926
5,0.02,113.0,0.06099656
5,0.02,115.0,0.06653620
5,0.02,117.0,0.06828442
5,0.02,119.0,0.05947712
5,0.04,5.0,0.00003000
5,0.04,7.0,0.00012001
5,0.04,9.0,0.00053016
5,0.04,11.0,0.00113655
5,0.04,13.0,0.00210765
5,0.04,15.0,0.00315470
5,0.04,17.0,0.00490410
5,0.04,19.0,0.00716525
5,0.04,21.0,0.00957651
5,0.04,23.0,0.01250768
5,0.04,25.0,0.01598005
5,0.04,27.0,0.01962842
5,0.04,29.0,0.02294848
5,0.04,31.0,0.02621395
5,0.04,33.0,0.03072091
5,0.04,35.0,0.03386808
5,0.04,37.0,0.03731850
5,0.04,39.0,0.04018484
5,0.04,41.0,0.04430424
5,0.04,43.0,0.04605965
5,0.04,45.0,0.04946403
5,0.04,47.0,0.05160051
5,0.04,49.0,0.05242459
5,0.04,51.0,0.05598411
5,0.04,53.0,0.05814447
5,0.04,55.0,0.05921806
5,0.04,57.0,0.06023642
5,0.04,59.0,0.06207702
5,0.04,61.0,0.06263264
5,0.04,63.0,0.06376361
5,0.04,65.0,0.06459893
5,0.04,67.0,0.06337509
5,0.04,69.0,0.06211908
5,0.04,71.0,0.06241970
5,0.04,73.0,0.06428921
5,0.04,75.0,0.06212270
5,0.04,77.0,0.06284065
5,0.04,79.0,0.06618995
5,0.04,81.0,0.06699070
5,0.04,83.0,0.06686188
5,0.04,85.0,0.06366197
5,0.04,87.0,0.06649451
5,0.04,89.0,0.06571109
5,0.04,91.0,0.06686670
5,0.04,93.0,0.07125186
5,0.04,95.0,0.06809002
5,0.04,97.0,0.06913828
5,0.04,99.0,0.06317829
5,0.04,101.0,0.07231588
5,0.04,103.0,0.06794606
5,0.04,105.0,0.06902761
5,0.04,107.0,0.06337047
5,0.04,109.0,0.06060606
5,0.04,111.0,0.06442831
5,0.04,113.0,0.06979167
5,0.04,115.0,0.05811138
5,0.04,117.0,0.04794521
5,0.04,119.0,0.05454545
6,0.0,7.0,0.00000500
6,0.0,9.0,0.00002500
6,0.0,11.0,0.00008501
6,0.0,13.0,0.00014003
6,0.0,15.0,0.00021011
6,0.0,17.0,0.00036534
6,0.0,19.0,0.00064607
6,0.0,21.0,0.00087759
6,0.0,23.0,0.00133628
6,0.0,25.0,0.00188890
6,0.0,27.0,0.00207303
6,0.0,29.0,0.00274170
6,0.0,31.0,0.00332350
6,0.0,33.0,0.00403441
6,0.0,35.0,0.00432629
6,0.0,37.0,0.00537275
6,0.0,39.0,0.00621302
6,0.0,41.0,0.00692780
6,0.0,43.0,0.00779546
6,0.0,45.0,0.00891637
6,0.0,47.0,0.00947101
6,0.0,49.0,0.01040880
6,0.0,51.0,0.01094549
6,0.0,53.0,0.01208618
6,0.0,55.0,0.01276497
6,0.0,57.0,0.01382784
6,0.0,59.0,0.01447946
6,0.0,61.0,0.01513076
6,0.0,63.0,0.01693346
6,0.0,65.0,0.01746316
6,0.0,67.0,0.01797011
6,0.0,69.0,0.01813645
6,0.0,71.0,0.01904867
6,0.0,73.0,0.02038750
6,0.0,75.0,0.02073930
6,0.0,77.0,0.02241558
6,0.0,79.0,0.02156514
6,0.0,81.0,0.02342847
6,0.0,83.0,0.02336766
6,0.0,85.0,0.02357545
6,0.0,87.0,0.02507014
6,0.0,89.0,0.02603621
6,0.0,91.0,0.02565713
6,0.0,93.0,0.02777336
6,0.0,95.0,0.02797644
6,0.0,97.0,0.02923351
6,0.0,99.0,0.02786192
6,0.0,101.0,0.02860389
6,0.0,103.0,0.02977245
6,0.0,105.0,0.03062109
6,0.0,107.0,0.02958770
6,0.0,109.0,0.03072328
6,0.0,111.0,0.03268925
6,0.0,113.0,0.03329766
6,0.0,115.0,0.03215551
6,0.0,117.0,0.03336304
6,0.0,119.0,0.03362974
6,0.004,5.0,0.00000500
6,0.004,7.0,0.00001000
6,0.004,9.0,0.00002000
6,0.004,11.0,0.00006500
6,0.004,13.0,0.00014003
6,0.004,15.0,0.00030014
6,0.004,17.0,0.00049554
6,0.004,19.0,0.00080166
6,0.004,21.0,0.00117933
6,0.004,23.0,0.00139339
6,0.004,25.0,0.00193198
6,0.004,27.0,0.00286111
6,0.004,29.0,0.00324937
6,0.004,31.0,0.00411134
6,0.004,33.0,0.00480705
6,0.004,35.0,0.00540693
6,0.004,37.0,0.00632077
6,0.004,39.0,0.00776432
6,0.004,41.0,0.00874441
6,0.004,43.0,0.00917076
6,0.004,45.0,0.01045641
6,0.004,47.0,0.01227770
6,0.004,49.0,0.01341764
6,0.004,51.0,0.01459297
6,0.004,53.0,0.01583005
6,0.004,55.0,0.01662458
6,0.004,57.0,0.01786262
6,0.004,59.0,0.01938118
6,0.004,61.0,0.02001898
6,0.004,63.0,0.02131818
6,0.004,65.0,0.02290112
6,0.004,67.0,0.02331186
6,0.004,69.0,0.02558679
6,0.004,71.0,0.02642310
6,0.004,73.0,0.02711287
6,0.004,75.0,0.02798964
6,0.004,77.0,0.03027088
6,0.004,79.0,0.03013436
6,0.004,81.0,0.03099891
6,0.004,83.0,0.03272431
6,0.004,85.0,0.03237151
6,0.004,87.0,0.03403506
6,0.004,89.0,0.03493249
6,0.004,91.0,0.03572892
6,0.004,93.0,0.03744850
6,0.004,95.0,0.03859154
6,0.004,97.0,0.03882449
6,0.004,99.0,0.04104181
6,0.004,101.0,0.03995318
6,0.004,103.0,0.04162518
6,0.004,105.0,0.04202619
6,0.004,107.0,0.04100791
6,0.004,109.0,0.04212415
6,0.004,111.0,0.04325680
6,0.004,113.0,0.04272111
6,0.004,115.0,0.04624332
6,0.004,117.0,0.04661499
6,0.004,119.0,0.04553744
6,0.01,7.0,0.00001000
6,0.01,9.0,0.00006000
6,0.01,11.0,0.00011502
6,0.01,13.0,0.00017006
6,0.01,15.0,0.00047534
6,0.01,17.0,0.00060601
6,0.01,19.0,0.00091763
6,0.01,21.0,0.00148699
6,0.01,23.0,0.00192474
6,0.01,25.0,0.00278194
6,0.01,27.0,0.00334174
6,0.01,29.0,0.00424497
6,0.01,31.0,0.00530388
6,0.01,33.0,0.00638904
6,0.01,35.0,0.00771427
6,0.01,37.0,0.00945696
6,0.01,39.0,0.01047129
6,0.01,41.0,0.01224394
6,0.01,43.0,0.01377777
6,0.01,45.0,0.01500507
6,0.01,47.0,0.01681816
6,0.01,49.0,0.01848499
6,0.01,51.0,0.02006294
6,0.01,53.0,0.02199671
6,0.01,55.0,0.02318682
6,0.01,57.0,0.02526933
6,0.01,59.0,0.02649652
6,0.01,61.0,0.02768881
6,0.01,63.0,0.03029584
6,0.01,65.0,0.03116526
6,0.01,67.0,0.03409454
6,0.01,69.0,0.03470602
6,0.01,71.0,0.03596072
6,0.01,73.0,0.03687641
6,0.01,75.0,0.03808696
6,0.01,77.0,0.03957658
6,0.01,79.0,0.04035226
6,0.01,81.0,0.04165384
6,0.01,83.0,0.04347988
6,0.01,85.0,0.04431001
6,0.01,87.0,0.04680212
6,0.01,89.0,0.04735514
6,0.01,91.0,0.04572288
6,0.01,93.0,0.04915173
6,0.01,95.0,0.04937283
6,0.01,97.0,0.05071069
6,0.01,99.0,0.05017301
6,0.01,101.0,0.05288462
6,0.01,103.0,0.05458269
6,0.01,105.0,0.05287964
6,0.01,107.0,0.05611261
6,0.01,109.0,0.05929626
6,0.01,111.0,0.05848530
6,0.01,113.0,0.05544186
6,0.01,115.0,0.05994978
6,0.01,117.0,0.05694246
6,0.01,119.0,0.06090690
6,0.02,7.0,0.00001000
6,0.02,9.0,0.00005500
6,0.02,11.0,0.00008501
6,0.02,13.0,0.00026008
6,0.02,15.0,0.00045037
6,0.02,17.0,0.00091157
6,0.02,19.0,0.00140497
6,0.02,21.0,0.00215869
6,0.02,23.0,0.00308277
6,0.02,25.0,0.00402229
6,0.02,27.0,0.00537238
6,0.02,29.0,0.00678841
6,0.02,31.0,0.00840005
6,0.02,33.0,0.01078768
6,0.02,35.0,0.01264198
6,0.02,37.0,0.01434814
6,0.02,39.0,0.01641018
6,0.02,41.0,0.01926908
6,0.02,43.0,0.02092844
6,0.02,45.0,0.02331875
6,0.02,47.0,0.02525397
6,0.02,49.0,0.02839958
6,0.02,51.0,0.03108034
6,0.02,53.0,0.03182252
6,0.02,55.0,0.03550521
6,0.02,57.0,0.03718747
6,0.02,59.0,0.03943246
6,0.02,61.0,0.04124970
6,0.02,63.0,0.04251123
6,0.02,65.0,0.04461758
6,0.02,67.0,0.04689327
6,0.02,69.0,0.04944934
6,0.02,71.0,0.04967350
6,0.02,73.0,0.04987981
6,0.02,75.0,0.04924846
6,0.02,77.0,0.05314829
6,0.02,79.0,0.05417758
6,0.02,81.0,0.05458633
6,0.02,83.0,0.05619490
6,0.02,85.0,0.05807870
6,0.02,87.0,0.05803380
6,0.02,89.0,0.06007376
6,0.02,91.0,0.05669535
6,0.02,93.0,0.05890769
6,0.02,95.0,0.06155690
6,0.02,97.0,0.06272113
6,0.02,99.0,0.06160353
6,0.02,101.0,0.05924916
6,0.02,103.0,0.06459672
6,0.02,105.0,0.06543716
6,0.02,107.0,0.06397359
6,0.02,109.0,0.07029560
6,0.02,111.0,0.06040268
6,0.02,113.0,0.06750954
6,0.02,115.0,0.06370656
6,0.02,117.0,0.06668774
6,0.02,119.0,0.06309263
6,0.04,5.0,0.00001000
6,0.04,7.0,0.00001000
6,0.04,9.0,0.00011000
6,0.04,11.0,0.00018005
6,0.04,13.0,0.00045528
6,0.04,15.0,0.00075616
6,0.04,17.0,0.00162494
6,0.04,19.0,0.00271203
6,0.04,21.0,0.00412312
6,0.04,23.0,0.00594279
6,0.04,25.0,0.00812572
6,0.04,27.0,0.01049024
6,0.04,29.0,0.01351844
6,0.04,31.0,0.01709491
6,0.04,33.0,0.02017569
6,0.04,35.0,0.02385934
6,0.04,37.0,0.02746430
6,0.04,39.0,0.03059284
6,0.04,41.0,0.03445801
6,0.04,43.0,0.03678937
6,0.04,45.0,0.04058397
6,0.04,47.0,0.04400043
6,0.04,49.0,0.04658180
6,0.04,51.0,0.04820118
6,0.04,53.0,0.05145504
6,0.04,55.0,0.05277653
6,0.04,57.0,0.05534831
6,0.04,59.0,0.05596245
6,0.04,61.0,0.05709252
6,0.04,63.0,0.05854846
6,0.04,65.0,0.06338973
6,0.04,67.0,0.05983094
6,0.04,69.0,0.06175957
6,0.04,71.0,0.06502099
6,0.04,73.0,0.06341483
6,0.04,75.0,0.06564900
6,0.04,77.0,0.06258085
6,0.04,79.0,0.06869994
6,0.04,81.0,0.06735714
6,0.04,83.0,0.06240713
6,0.04,85.0,0.06140351
6,0.04,87.0,0.06430108
6,0.04,89.0,0.06428924
6,0.04,91.0,0.06683659
6,0.04,93.0,0.06423668
6,0.04,95.0,0.06470368
6,0.04,97.0,0.06828953
