lambda_s,cv,competing_mort,age,hazard_pop
0.01,0.0,False,41.5,0.0012540334520335106
0.01,0.0,False,42.5,0.001391559375435095
0.01,0.0,False,43.5,0.0015398986553154742
0.01,0.0,False,44.5,0.0016995541555471527
0.01,0.0,False,45.5,0.0018710327676512313
0.01,0.0,False,46.5,0.0020548447614299166
0.01,0.0,False,47.5,0.002251503141066166
0.01,0.0,False,48.5,0.0024615230078624973
0.01,0.0,False,49.5,0.0026854209307115282
0.01,0.0,False,50.5,0.0029091322392823817
0.01,0.0,False,51.5,0.003129622653702775
0.01,0.0,False,52.5,0.003360486646182603
0.01,0.0,False,53.5,0.003601844778487227
0.01,0.0,False,54.5,0.003853804290668281
0.01,0.0,False,55.5,0.004116458997113937
0.01,0.0,False,56.5,0.004389889217114838
0.01,0.0,False,57.5,0.004674161738672108
0.01,0.0,False,58.5,0.004969329814242622
0.01,0.0,False,59.5,0.005275433187092585
0.01,0.0,False,60.5,0.005592498146912333
0.01,0.0,False,61.5,0.005920537613333274
0.01,0.0,False,62.5,0.006259551245980938
0.01,0.0,False,63.5,0.006609525579696395
0.01,0.0,False,64.5,0.006970434183560742
0.01,0.0,False,65.5,0.007342237842364394
0.01,0.0,False,66.5,0.007724884759173235
0.01,0.0,False,67.5,0.008118310777657818
0.01,0.0,False,68.5,0.008522439622868994
0.01,0.0,False,69.5,0.008937183159162941
0.01,0.0,False,70.5,0.009362441664001506
0.01,0.0,False,71.5,0.009798104116378189
0.01,0.0,False,72.5,0.010244048498646819
0.01,0.0,False,73.5,0.010700142110558879
0.01,0.0,False,74.5,0.011166241894345105
0.01,0.0,False,75.5,0.011642194769708823
0.01,0.0,False,76.5,0.012127837977630966
0.01,0.0,False,77.5,0.012622999431920403
0.01,0.0,False,78.5,0.013127498077477817
0.01,0.0,False,79.5,0.013641144254276155
0.01,0.0,False,80.5,0.014163740066096997
0.01,0.0,False,81.5,0.014695079753097503
0.01,0.0,False,82.5,0.01523495006731958
0.01,0.0,False,83.5,0.01578313065028886
0.01,0.0,False,84.5,0.01633939441188816
0.01,0.0,False,85.5,0.01690350790972584
0.01,0.0,False,86.5,0.01747523172825644
0.01,0.0,False,87.5,0.018054320856946707
0.01,0.0,False,88.5,0.01864052506681566
0.01,0.0,False,89.5,0.019233589284713314
0.01,0.0,False,90.5,0.019833253964736664
0.01,0.0,False,91.5,0.020439255456216752
0.01,0.0,False,92.5,0.021051326367743865
0.01,0.0,False,93.5,0.021669195926731347
0.01,0.0,False,94.5,0.022292590334050805
0.01,0.0,False,95.5,0.0229212331133034
0.01,0.0,False,96.5,0.023554845454323143
0.01,0.0,False,97.5,0.024193146550537812
0.01,0.0,False,98.5,0.024835853929843492
0.01,0.0,False,99.5,0.025482683778676168
0.01,0.0,False,100.5,0.02613335125899321
0.01,0.0,False,101.5,0.026787570817902843
0.01,0.0,False,102.5,0.027445056489707093
